collision_index,collision_year,severity_binary,is_night,is_weekend,young_passenger,driver_sex,severity,lighting,day_type,young_passenger_label
2021440283406,2021,0,0,0,1,Male only,Lower severity,Day,Weekday,Young passenger present
201804WB18202,2018,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2023451301791,2023,0,1,0,1,Female only,Lower severity,Night,Weekday,Young passenger present
2019010187851,2019,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2018010086613,2018,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
202260B110725,2022,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
202360A029092,2023,1,0,0,0,Male only,Higher severity,Day,Weekday,No young passenger
2023461312774,2023,1,1,0,1,Male only,Higher severity,Night,Weekday,Young passenger present
2018320361814,2018,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2022461250698,2022,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
2018450329061,2018,0,0,1,0,Female only,Lower severity,Day,Weekend,No young passenger
2021371148243,2021,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2019460849173,2019,0,0,0,1,Female only,Lower severity,Day,Weekday,Young passenger present
2019010203812,2019,0,0,1,0,Female only,Lower severity,Day,Weekend,No young passenger
2018610049018,2018,0,0,1,0,Female only,Lower severity,Day,Weekend,No young passenger
2024041426964,2024,1,0,0,0,Male only,Higher severity,Day,Weekday,No young passenger
2023010435106,2023,0,1,1,1,Male only,Lower severity,Night,Weekend,Young passenger present
2019420830335,2019,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2019370849459,2019,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
201860W167508,2018,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
201931D189819,2019,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2022010387469,2022,0,1,0,1,Male only,Lower severity,Night,Weekday,Young passenger present
201863A010818,2018,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
2021031042170,2021,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
2021010329995,2021,0,1,0,1,Male only,Lower severity,Night,Weekday,Young passenger present
2019500902313,2019,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2018051801627,2018,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2023201398923,2023,1,1,0,1,Male only,Higher severity,Night,Weekday,Young passenger present
2019220837493,2019,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2022201276965,2022,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2019430150859,2019,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2019010224103,2019,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2019140810641,2019,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2024440331901,2024,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2018460306476,2018,0,0,0,1,Female only,Lower severity,Day,Weekday,Young passenger present
2022552200315,2022,0,1,0,1,Female only,Lower severity,Night,Weekday,Young passenger present
2024440487805,2024,1,1,1,0,Male only,Higher severity,Night,Weekend,No young passenger
2024122400713,2024,1,0,0,0,Female only,Higher severity,Day,Weekday,No young passenger
2019200916538,2019,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2024010490339,2024,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
2024302400372,2024,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
2019331900389,2019,0,0,1,1,Male only,Lower severity,Day,Weekend,Young passenger present
2024421514012,2024,1,1,1,0,Female only,Higher severity,Night,Weekend,No young passenger
2020010274311,2020,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2021010328659,2021,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2019370877238,2019,0,0,1,0,Female only,Lower severity,Day,Weekend,No young passenger
2023552300979,2023,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
2018420352385,2018,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2024421443280,2024,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2019400841943,2019,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2019320509133,2019,1,0,0,0,Female only,Higher severity,Day,Weekday,No young passenger
2019420915377,2019,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
201863D086018,2018,0,0,1,1,Male only,Lower severity,Day,Weekend,Young passenger present
2018610024518,2018,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2023351293918,2023,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2022131217324,2022,1,0,0,1,Male only,Higher severity,Day,Weekday,Young passenger present
2020010261931,2020,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2023010461015,2023,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2020400995071,2020,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2024052402666,2024,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2021361080029,2021,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2023430470577,2023,0,0,0,1,Male only,Lower severity,Day,Weekday,Young passenger present
2022131171539,2022,1,1,1,0,Male only,Higher severity,Night,Weekend,No young passenger
202134NNC5281,2021,0,1,0,1,Female only,Lower severity,Night,Weekday,Young passenger present
2018410328515,2018,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2023631381481,2023,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
2023231314065,2023,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2024461446060,2024,1,0,0,0,Male only,Higher severity,Day,Weekday,No young passenger
2024371405784,2024,1,1,1,0,Male only,Higher severity,Night,Weekend,No young passenger
2021622100896,2021,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2018301800392,2018,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2024461430264,2024,1,1,0,1,Male only,Higher severity,Night,Weekday,Young passenger present
2022201216463,2022,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2023421370362,2023,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2024041502314,2024,1,1,0,1,Male only,Higher severity,Night,Weekday,Young passenger present
2022440144301,2022,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2020360979208,2020,1,0,0,0,Female only,Higher severity,Day,Weekday,No young passenger
2020500975651,2020,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2018370315022,2018,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2018621800220,2018,0,0,1,0,Female only,Lower severity,Day,Weekend,No young passenger
2023131306840,2023,1,1,1,0,Male only,Higher severity,Night,Weekend,No young passenger
2019530870486,2019,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2019360889005,2019,0,0,1,0,Female only,Lower severity,Day,Weekend,No young passenger
2020410987894,2020,1,0,0,0,Female only,Higher severity,Day,Weekday,No young passenger
2020220922697,2020,1,0,0,0,Male only,Higher severity,Day,Weekday,No young passenger
2019450824612,2019,1,0,1,0,Unknown,Higher severity,Day,Weekend,No young passenger
2024320462881,2024,1,0,0,1,Male only,Higher severity,Day,Weekday,Young passenger present
2024010505827,2024,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2022548298022,2022,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2019070159002,2019,0,1,1,1,Female only,Lower severity,Night,Weekend,Young passenger present
202263C104722,2022,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2019460834225,2019,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2020410987075,2020,1,0,0,0,Female only,Higher severity,Day,Weekday,No young passenger
2020010244913,2020,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2019010223079,2019,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2019230820240,2019,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2019010172167,2019,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2020622000086,2020,0,1,0,1,Female only,Lower severity,Night,Weekday,Young passenger present
2023122300798,2023,1,1,1,1,Male only,Higher severity,Night,Weekend,Young passenger present
2022421212624,2022,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2024061511047,2024,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
20201379R1421,2020,1,0,0,0,Male only,Higher severity,Day,Weekday,No young passenger
2019500909114,2019,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
202131B185921,2021,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2021461064432,2021,1,0,0,0,Male only,Higher severity,Day,Weekday,No young passenger
2018450306153,2018,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
2018301800114,2018,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2024320143476,2024,1,1,1,1,Male only,Higher severity,Night,Weekend,Young passenger present
2018450290820,2018,1,0,0,0,Unknown,Higher severity,Day,Weekday,No young passenger
2023340WN3112,2023,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2021010320177,2021,0,0,0,0,Mixed sex,Lower severity,Day,Weekday,No young passenger
2018301801702,2018,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2022371212444,2022,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2023501324239,2023,1,0,0,0,Male only,Higher severity,Day,Weekday,No young passenger
2019440041412,2019,1,1,0,1,Female only,Higher severity,Night,Weekday,Young passenger present
2018100318330,2018,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2020010230662,2020,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2024440359790,2024,1,0,0,0,Male only,Higher severity,Day,Weekday,No young passenger
2022421204225,2022,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
2023371357059,2023,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2021010289572,2021,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2022421171414,2022,0,0,1,0,Female only,Lower severity,Day,Weekend,No young passenger
2023471280294,2023,0,1,1,1,Male only,Lower severity,Night,Weekend,Young passenger present
2018010143602,2018,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2018010111323,2018,0,1,0,1,Female only,Lower severity,Night,Weekday,Young passenger present
2019350825964,2019,0,0,1,0,Female only,Lower severity,Day,Weekend,No young passenger
20191369A0020,2019,1,1,0,0,Male only,Higher severity,Night,Weekday,No young passenger
2019410921871,2019,0,1,1,0,Female only,Lower severity,Night,Weekend,No young passenger
2022552200344,2022,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
2022552201365,2022,0,0,1,0,Female only,Lower severity,Day,Weekend,No young passenger
2023201414434,2023,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2018010098499,2018,1,1,0,1,Male only,Higher severity,Night,Weekday,Young passenger present
2023421359140,2023,0,1,1,1,Male only,Lower severity,Night,Weekend,Young passenger present
2018030308918,2018,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2023501334737,2023,0,1,1,1,Male only,Lower severity,Night,Weekend,Young passenger present
2022031221209,2022,1,1,0,1,Male only,Higher severity,Night,Weekday,Young passenger present
2022531239942,2022,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
202063D046020,2020,0,0,1,0,Female only,Lower severity,Day,Weekend,No young passenger
2018010115226,2018,1,0,0,1,Male only,Higher severity,Day,Weekday,Young passenger present
2020450931841,2020,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2022311177520,2022,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
2023552300693,2023,0,0,1,1,Male only,Lower severity,Day,Weekend,Young passenger present
2022501277046,2022,1,1,1,0,Male only,Higher severity,Night,Weekend,No young passenger
2021471077094,2021,1,0,0,0,Male only,Higher severity,Day,Weekday,No young passenger
2022421162966,2022,0,1,0,1,Male only,Lower severity,Night,Weekday,Young passenger present
2024320142360,2024,0,0,1,1,Male only,Lower severity,Day,Weekend,Young passenger present
201806L251368,2018,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2018370285290,2018,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2019010200487,2019,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2019460818309,2019,0,0,1,1,Female only,Lower severity,Day,Weekend,Young passenger present
2019010227732,2019,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2024542606024,2024,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2022320074623,2022,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
2021622100203,2021,0,0,1,0,Female only,Lower severity,Day,Weekend,No young passenger
2020460928767,2020,1,1,0,0,Female only,Higher severity,Night,Weekday,No young passenger
2022361256726,2022,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2020332000963,2020,0,1,1,0,Female only,Lower severity,Night,Weekend,No young passenger
2018520805586,2018,0,0,1,1,Male only,Lower severity,Day,Weekend,Young passenger present
2021461014986,2021,0,1,0,1,Male only,Lower severity,Night,Weekday,Young passenger present
2018220312308,2018,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2018610067518,2018,1,1,1,1,Male only,Higher severity,Night,Weekend,Young passenger present
2023010473231,2023,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2018500270923,2018,0,1,0,1,Male only,Lower severity,Night,Weekday,Young passenger present
202006L271053,2020,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2023421294780,2023,0,0,1,1,Female only,Lower severity,Day,Weekend,Young passenger present
2018460285000,2018,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2023201287308,2023,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2020330927031,2020,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2019440158492,2019,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2022141155941,2022,1,1,0,0,Male only,Higher severity,Night,Weekday,No young passenger
2019450816835,2019,1,1,0,0,Male only,Higher severity,Night,Weekday,No young passenger
2019210858197,2019,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2021131078895,2021,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
2019320556727,2019,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
2020440216356,2020,0,0,0,1,Male only,Lower severity,Day,Weekday,Young passenger present
2024531452478,2024,1,1,1,1,Female only,Higher severity,Night,Weekend,Young passenger present
2023201332578,2023,0,0,1,1,Male only,Lower severity,Day,Weekend,Young passenger present
2020460923541,2020,0,1,0,1,Male only,Lower severity,Night,Weekday,Young passenger present
2023031354166,2023,0,1,0,1,Female only,Lower severity,Night,Weekday,Young passenger present
2022371200702,2022,0,1,0,1,Male only,Lower severity,Night,Weekday,Young passenger present
2019610034719,2019,0,0,0,1,Female only,Lower severity,Day,Weekday,Young passenger present
2021361061655,2021,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2020361002730,2020,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2022471238799,2022,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
2019070461278,2019,0,0,0,1,Female only,Lower severity,Day,Weekday,Young passenger present
2023361345019,2023,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
20191367F1222,2019,1,0,0,0,Male only,Higher severity,Day,Weekday,No young passenger
2018450269402,2018,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2019370873539,2019,0,0,1,1,Male only,Lower severity,Day,Weekend,Young passenger present
2018070313591,2018,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2023061392126,2023,1,1,0,1,Male only,Higher severity,Night,Weekday,Young passenger present
2022131232692,2022,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2018140287101,2018,1,0,0,0,Male only,Higher severity,Day,Weekday,No young passenger
2022320348221,2022,0,0,1,1,Female only,Lower severity,Day,Weekend,Young passenger present
2020122000377,2020,1,1,1,1,Male only,Higher severity,Night,Weekend,Young passenger present
2018460343499,2018,1,1,0,0,Female only,Higher severity,Night,Weekday,No young passenger
2022010355584,2022,1,0,0,0,Female only,Higher severity,Day,Weekday,No young passenger
2023061328038,2023,0,0,0,1,Female only,Lower severity,Day,Weekday,Young passenger present
2020400921219,2020,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2021141127306,2021,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2022411243851,2022,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2024471409623,2024,0,1,0,1,Male only,Lower severity,Night,Weekday,Young passenger present
2023371375259,2023,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2019100831940,2019,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2024371499410,2024,0,1,0,1,Male only,Lower severity,Night,Weekday,Young passenger present
2020040920850,2020,0,1,1,0,Female only,Lower severity,Night,Weekend,No young passenger
2023371264075,2023,1,1,0,1,Male only,Higher severity,Night,Weekday,Young passenger present
2022231229315,2022,1,0,0,0,Male only,Higher severity,Day,Weekday,No young passenger
2024010550361,2024,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2022041240622,2022,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2022111153280,2022,0,1,0,1,Male only,Lower severity,Night,Weekday,Young passenger present
2018010149422,2018,1,0,0,0,Female only,Higher severity,Day,Weekday,No young passenger
2024010529100,2024,1,0,0,1,Male only,Higher severity,Day,Weekday,Young passenger present
2022131165795,2022,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2024440352579,2024,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
2022070192061,2022,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2018010139060,2018,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2019320366088,2019,0,1,0,1,Male only,Lower severity,Night,Weekday,Young passenger present
2019420812122,2019,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
2020100959351,2020,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
201954B469419,2019,1,1,0,0,Male only,Higher severity,Night,Weekday,No young passenger
2020430259495,2020,0,0,0,1,Male only,Lower severity,Day,Weekday,Young passenger present
2023440047067,2023,0,1,1,1,Female only,Lower severity,Night,Weekend,Young passenger present
2022041131786,2022,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2023501354982,2023,0,0,0,1,Female only,Lower severity,Day,Weekday,Young passenger present
2023421261263,2023,1,0,0,0,Male only,Higher severity,Day,Weekday,No young passenger
2020122001315,2020,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2018370312266,2018,1,0,0,0,Female only,Higher severity,Day,Weekday,No young passenger
2020500946148,2020,1,0,0,0,Female only,Higher severity,Day,Weekday,No young passenger
2022170H11312,2022,0,1,0,1,Male only,Lower severity,Night,Weekday,Young passenger present
2022461197967,2022,0,1,1,1,Female only,Lower severity,Night,Weekend,Young passenger present
2022440251503,2022,0,0,1,1,Male only,Lower severity,Day,Weekend,Young passenger present
2022131257587,2022,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2022451207230,2022,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2018471806217,2018,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
202006F174281,2020,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2021471011706,2021,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2022311167650,2022,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2019500903510,2019,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2024041416505,2024,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2018030803989,2018,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
2018545494818,2018,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2019230895142,2019,1,0,1,0,Male only,Higher severity,Day,Weekend,No young passenger
2022430530048,2022,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
202360A084207,2023,1,1,1,1,Mixed sex,Higher severity,Night,Weekend,Young passenger present
2022141166433,2022,0,0,0,0,Mixed sex,Lower severity,Day,Weekday,No young passenger
2023440456816,2023,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
2024440405269,2024,0,0,1,1,Male only,Lower severity,Day,Weekend,Young passenger present
2019220898172,2019,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
2019450864716,2019,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2021421034477,2021,0,0,0,1,Male only,Lower severity,Day,Weekday,Young passenger present
2018370263365,2018,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2022131208703,2022,1,0,1,0,Male only,Higher severity,Day,Weekend,No young passenger
2020122001307,2020,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
2020430160266,2020,0,0,1,1,Male only,Lower severity,Day,Weekend,Young passenger present
2018360298132,2018,1,0,1,0,Female only,Higher severity,Day,Weekend,No young passenger
2020070777950,2020,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2018610042118,2018,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2024461526066,2024,1,1,1,0,Male only,Higher severity,Night,Weekend,No young passenger
2019040890770,2019,1,1,0,1,Female only,Higher severity,Night,Weekday,Young passenger present
2023201370367,2023,0,1,0,0,Male only,Lower severity,Night,Weekday,No young passenger
2021320707375,2021,1,1,0,1,Male only,Higher severity,Night,Weekday,Young passenger present
201804SA18202,2018,0,0,0,1,Male only,Lower severity,Day,Weekday,Young passenger present
2023340NN3902,2023,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2020552000243,2020,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
2022371177481,2022,0,0,1,0,Female only,Lower severity,Day,Weekend,No young passenger
2023552400151,2023,0,1,1,0,Male only,Lower severity,Night,Weekend,No young passenger
2018340W06241,2018,0,1,1,1,Female only,Lower severity,Night,Weekend,Young passenger present
2019522001271,2019,0,1,1,0,Unknown,Lower severity,Night,Weekend,No young passenger
2018471805709,2018,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
201806K143986,2018,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
2018430220590,2018,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2018460307664,2018,1,0,0,0,Male only,Higher severity,Day,Weekday,No young passenger
201860W112094,2018,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2022531230180,2022,1,1,0,1,Male only,Higher severity,Night,Weekday,Young passenger present
2023131300424,2023,0,0,0,1,Male only,Lower severity,Day,Weekday,Young passenger present
2020440384677,2020,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2019460869509,2019,0,1,0,1,Female only,Lower severity,Night,Weekday,Young passenger present
2023201374433,2023,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2021201094548,2021,1,1,0,0,Male only,Higher severity,Night,Weekday,No young passenger
2023332300756,2023,1,0,1,0,Male only,Higher severity,Day,Weekend,No young passenger
2024010551548,2024,0,1,0,0,Female only,Lower severity,Night,Weekday,No young passenger
2018320541020,2018,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2023451350222,2023,1,0,0,0,Male only,Higher severity,Day,Weekday,No young passenger
2021461120858,2021,0,0,1,0,Male only,Lower severity,Day,Weekend,No young passenger
2020340N05862,2020,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2022471188882,2022,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
2018220332342,2018,0,0,0,0,Female only,Lower severity,Day,Weekday,No young passenger
2019521902814,2019,0,1,0,1,Female only,Lower severity,Night,Weekday,Young passenger present
202163D034221,2021,1,1,0,1,Female only,Higher severity,Night,Weekday,Young passenger present
2019010202419,2019,0,0,1,0,Female only,Lower severity,Day,Weekend,No young passenger
2023430340510,2023,0,0,0,1,Mixed sex,Lower severity,Day,Weekday,Young passenger present
2019400826617,2019,0,1,1,0,Female only,Lower severity,Night,Weekend,No young passenger
2021101101894,2021,1,0,0,0,Female only,Higher severity,Day,Weekday,No young passenger
2019420904765,2019,1,1,0,0,Female only,Higher severity,Night,Weekday,No young passenger
2019010226439,2019,0,1,1,1,Male only,Lower severity,Night,Weekend,Young passenger present
2018471805194,2018,0,0,0,0,Male only,Lower severity,Day,Weekday,No young passenger
